city,Site,cy,plant_dens,dist,std_dist,pop,area,pop_dens,dwellings,dwell_dens
London,Lo9,0.260869565,14.2,2.95,0.161509901,366191,420.57,870.6,153630,365.2899636
London,Lo10,0.545454545,14.8,3.37,0.1875,366191,420.57,870.6,153630,365.2899636
London,Lo11,0.130434783,14.2,3.75,0.211014851,366191,420.57,870.6,153630,365.2899636
London,Lo12,0.285714286,10.8,4.1,0.232673267,366191,420.57,870.6,153630,365.2899636
London,Lo13,0.636363636,7.2,4.64,0.266089109,366191,420.57,870.6,153630,365.2899636
London,Lo14,0.35,2,4.99,0.287747525,366191,420.57,870.6,153630,365.2899636
London,Lo15,0.285714286,11.8,5.39,0.3125,366191,420.57,870.6,153630,365.2899636
London,Lo16,0.3,6,5.76,0.33539604,366191,420.57,870.6,153630,365.2899636
London,Lo17,0.333333333,15.8,6.15,0.359529703,366191,420.57,870.6,153630,365.2899636
London,Lo18,0.363636364,5.2,6.56,0.38490099,366191,420.57,870.6,153630,365.2899636
London,Lo19,0.222222222,21.8,7.03,0.413985149,366191,420.57,870.6,153630,365.2899636
London,Lo20,0.571428571,6.6,7.4,0.436881188,366191,420.57,870.6,153630,365.2899636
London,Lo21,0.368421053,4.2,7.79,0.461014851,366191,420.57,870.6,153630,365.2899636
London,Lo22,0.08,16,8.31,0.493193069,366191,420.57,870.6,153630,365.2899636
London,Lo23,0.333333333,10,8.52,0.506188119,366191,420.57,870.6,153630,365.2899636
London,Lo24,0.25,0,9.06,0.53960396,366191,420.57,870.6,153630,365.2899636
London,Lo25,0.222222222,7,9.46,0.564356436,366191,420.57,870.6,153630,365.2899636
London,Lo26,0.409090909,3,10.17,0.608292079,366191,420.57,870.6,153630,365.2899636
London,Lo27,0.269230769,13.2,10.65,0.63799505,366191,420.57,870.6,153630,365.2899636
London,Lo28,0.227272727,8.4,11.08,0.66460396,366191,420.57,870.6,153630,365.2899636
London,Lo29,0.52173913,15.4,11.28,0.676980198,366191,420.57,870.6,153630,365.2899636
London,Lo30,0.12,11.4,11.85,0.712252475,366191,420.57,870.6,153630,365.2899636
London,Lo31,0.192307692,0,12.27,0.738242574,366191,420.57,870.6,153630,365.2899636
London,Lo32,0.35,0,12.76,0.768564356,366191,420.57,870.6,153630,365.2899636
London,Lo33,0,12.6,13.02,0.784653465,366191,420.57,870.6,153630,365.2899636
London,Lo34,0.166666667,0,13.37,0.806311881,366191,420.57,870.6,153630,365.2899636
London,Lo35,0.304347826,6.2,13.93,0.840965347,366191,420.57,870.6,153630,365.2899636
London,Lo36,0.285714286,2.4,14.29,0.863242574,366191,420.57,870.6,153630,365.2899636
London,Lo37,0.238095238,3.6,14.7,0.888613861,366191,420.57,870.6,153630,365.2899636
London,Lo38,0.380952381,6.6,15.03,0.909034653,366191,420.57,870.6,153630,365.2899636
London,Lo39,0.08,5.2,15.51,0.938737624,366191,420.57,870.6,153630,365.2899636
London,Lo40,0.227272727,12.8,16.5,1,366191,420.57,870.6,153630,365.2899636
New Tecumseth,NT1,0.192307692,4.8,0.06,0,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT2,0.24,6.4,0.35,0.058585859,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT3,0.285714286,13.8,0.53,0.094949495,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT4,0.217391304,5.4,0.76,0.141414141,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT5,0.227272727,5.4,0.9,0.16969697,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT6,0.541666667,5.8,1.21,0.232323232,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT7,0.35,3.2,1.5,0.290909091,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT8,0.269230769,1.6,1.83,0.357575758,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT9,0.681818182,19,2.1,0.412121212,30234,274.18,110.3,11312,41.25756802
New Tecumseth,NT10,0.217391304,3.6,2.38,0.468686869,30234,274.18,110.3,11312,41.25756802
